"Node","Score","Impacted","Stressed","Total"
"LA6001","4","193","1","194"
"LB5096","13","256","7","282"
"CS2110","44","227","1","231"
"CA005B","47","131","2","157"
"SSB17","48","108","2","119"
"CC4129","49","250","0","256"
"HS2157","51","151","9","161"
"LA6034/LA6035","52","46","0","46"
"CT9031","53","124","4","134"
"HS2513","53","106","2","112"
"HS2179","53","180","1","187"
"LB5024","53","184","40","241"
"BB5203A","54","189","1","192"
"HA010A","54","107","8","117"
"GU010B","55","144","7","159"
"PPC14A","56","91","121","222"
"HG3014","57","136","0","142"
"LA6002B","58","115","4","120"
"CC4092A","58","177","0","179"
"HS2212","59","182","6","188"
"AAD44","59","171","0","177"
"BB5121","60","241","0","251"
"LA002A","61","106","1","107"
"AAD49","61","130","4","144"
"LB5101","61","23","176","206"
"MHM14","61","220","7","231"
"ISL16A","62","69","0","72"
"HG3750/3749","62","63","1","64"
"PPC25","62","95","70","200"
"PPC26","62","201","2","205"
"HT9000","62","251","11","262"
"MMY68","62","199","8","221"
"FJ001A","62","350","6","374"
"LB5095","63","88","0","92"
"SGU07","63","89","6","95"
"HG3583","63","126","5","158"
"BB5014","63","99","79","179"
"SCR16","63","157","3","171"
"LB5009","63","11","172","194"
"LA6016","63","239","17","262"
"HS2184","64","62","1","75"
"HS2684","64","112","6","131"
"MRC10A","64","87","10","125"
"LB5076","64","140","6","151"
"LA6005","64","164","12","185"
"MMY14","64","252","29","289"
"HC4114","64","268","55","349"
"HG3712","65","-1","0","0"
"AAD57","65","123","1","128"
"HS2654","65","74","2","78"
"LL7059","65","73","0","76"
"LADERAS-SJ","65","103","0","104"
"HS2121","65","98","92","190"
"HS2280","65","60","116","193"
"HS2080A","65","161","14","178"
"MSG22","65","158","18","188"
"HS2096","65","176","10","189"
"GPT02","65","171","37","210"
"HS1197","65","8","208","233"
"HM011","65","154","48","208"
"HS2191","65","109","83","236"
"HS2065","65","43","143","246"
"CC4064","65","169","43","251"
"SCR29","65","162","48","266"
"BB5118","66","109","16","131"
"AAG21","66","67","25","101"
"HS2229","66","73","70","145"
"LA6013","66","15","146","171"
"PGN07","66","131","4","139"
"HS2187","66","123","1","134"
"AR047A","67","19","104","124"
"HS2025","67","18","101","120"
"HS2240","67","106","2","110"
"LB5073","67","190","1","191"
"LB5021","67","206","11","223"
"HG3502","67","92","1","99"
"HS2512","67","91","7","101"
"PPN05","67","10","161","176"
"SLJ13","67","64","72","178"
"AMC20","67","127","21","178"
"ISL05","67","156","10","171"
"HS2039","67","198","10","215"
"AR002A","67","185","4","211"
"CC4055","67","185","16","223"
"AAG14","68","34","70","118"
"SGU08","68","66","16","90"
"P086","68","17","149","170"
"PPC32","68","8","154","168"
"MT017A","68","69","0","69"
"SSG02","68","16","133","186"
"LB5007","68","26","164","194"
"CC4097","68","150","14","165"
"PJD06","68","51","145","215"
"HC4118B","68","51","58","224"
"LL7113","68","149","4","153"
"CC4103A","68","206","4","216"
"LB5030","68","212","10","225"
"RG012B","68","263","4","271"
"CA020B","68","10","325","337"
"LU008B","69","25","2","54"
"AAG20","69","64","32","103"
"CT9023","69","36","75","137"
"HT9114","69","69","9","78"
"SGU09","69","131","6","145"
"HS2182","69","98","29","150"
"MMY83","69","70","6","83"
"ISI03A","69","11","131","150"
"MCR14","69","73","83","176"
"HG3509","69","137","25","164"
"OR006","69","91","4","98"
"AMC10","69","132","11","148"
"HG2612","69","97","10","121"
"LL7020","69","76","2","81"
"AAG23","69","105","0","106"
"SLJ10","69","78","86","249"
"HS2999","70","-1","0","0"
"HT9240","70","-1","0","0"
"AQB10","70","103","18","125"
